scaffold,R1,R2,R3,analogue_smiles
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethyl,phenyl,CCc1ccc(NC(=O)c2ccccc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethyl,4-methylphenyl,CCc1ccc(NC(=O)c2ccc(C)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethyl,4-fluorophenyl,CCc1ccc(NC(=O)c2ccc(F)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethyl,4-chlorophenyl,CCc1ccc(NC(=O)c2ccc(Cl)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethyl,4-cyanophenyl,CCc1ccc(NC(=O)c2ccc(C#N)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethyl,2-methoxyphenyl,CCc1ccc(NC(=O)c2ccccc2OC)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethyl,2-carboxyphenyl,CCc1ccc(NC(=O)c2ccccc2C(=O)O)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethyl,2-naphthyl,CCc1ccc(NC(=O)c2ccc3ccccc3c2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethyl,"4,1'-biphenyl",CCc1ccc(NC(=O)c2ccc(-c3ccccc3)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethyl,"3,1'-biphenyl",CCc1ccc(NC(=O)c2cccc(-c3ccccc3)c2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethyl,benzyl-4-methylpipirazyl,CCc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethyl,benzylpipirazyl,CCc1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,isopropyl,hydrogen,CC(C)c1ccc(NC=O)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,isopropyl,phenyl,CC(C)c1ccc(NC(=O)c2ccccc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,isopropyl,4-methylphenyl,Cc1ccc(C(=O)Nc2ccc(C(C)C)c(Nc3ncccn3)c2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,isopropyl,4-fluorophenyl,CC(C)c1ccc(NC(=O)c2ccc(F)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,isopropyl,4-chlorophenyl,CC(C)c1ccc(NC(=O)c2ccc(Cl)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,isopropyl,4-cyanophenyl,CC(C)c1ccc(NC(=O)c2ccc(C#N)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,isopropyl,2-methoxyphenyl,COc1ccccc1C(=O)Nc1ccc(C(C)C)c(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,isopropyl,2-carboxyphenyl,CC(C)c1ccc(NC(=O)c2ccccc2C(=O)O)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,isopropyl,2-naphthyl,CC(C)c1ccc(NC(=O)c2ccc3ccccc3c2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,isopropyl,"4,1'-biphenyl",CC(C)c1ccc(NC(=O)c2ccc(-c3ccccc3)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,isopropyl,"3,1'-biphenyl",CC(C)c1ccc(NC(=O)c2cccc(-c3ccccc3)c2)cc1Nc1ncccn1
